Time,Node A,Node B,Node C,Node D,Node E,Node F
2021-01-07 16:00:00,8578232744.0,8995607300.0,15166.79069,63201997.32,5718995.707,785750.2782
2021-01-07 17:00:00,9063212999.0,8447605537.0,36984948.08,53353995.38,6515869.782,780158.4707
2021-01-07 18:00:00,10120527432.0,10429074307.0,74102884.57,42626766.11,12807427.71,790124.4485
2021-01-07 19:00:00,11763415745.0,3804991752.0,57149.6574,56729125.7,6422930.416,786678.656
2021-01-07 20:00:00,10321184069.0,6701332443.0,37634282.07,53161799.15,53309791.45,782605.7355
2021-01-07 21:00:00,10063515050.0,8151181103.0,14736.59146,56153245.14,7419924.746,781619.2702
2021-01-07 22:00:00,9757821021.0,13195058988.0,37455640.36,74036392.18,88342123.23,794771.9512
2021-01-07 23:00:00,15575363806.0,10050448578.0,51174993.83,73236679.29,6891595.003,787510.1435
2021-01-08 00:00:00,17061219711.0,9372925079.0,84469249.8,112693102.9,10823284.41,773884.9776
2021-01-08 01:00:00,17924122309.0,6120187559.0,14594.71465,95455541.42,5788826.487,778142.1704
2021-01-08 02:00:00,18300068411.0,3630825158.0,82876.37868,87269643.76,9659472.233,777466.276
2021-01-08 03:00:00,18134142598.0,10046590495.0,53677563.61,88749195.22,14445236.42,786172.7611
2021-01-08 04:00:00,16468345761.0,6714960598.0,65631.60514,87660147.46,53394350.46,786694.575
2021-01-08 05:00:00,20217933736.0,10404002877.0,53395.59319,75953306.79,11352945.32,777787.5579
2021-01-08 06:00:00,20318928265.0,13421699462.0,14855.83188,71959840.62,16647321.42,778234.2158
2021-01-08 07:00:00,20929423589.0,14496422069.0,37190445.97,56154020.54,43084846.36,780501.2326
2021-01-08 08:00:00,11773898184.0,17012255319.0,50450.27333,35755458.45,11322861.33,767757.7911
2021-01-08 09:00:00,12687573550.0,28684908449.0,43080544.38,28975565.08,12247254.17,821898.1087
2021-01-08 10:00:00,12193721910.0,26776130831.0,85464468.75,34067317.61,48843579.36,828692.0774
2021-01-08 11:00:00,10601615982.0,18483330944.0,15673.99535,25905362.64,7587504.296,779762.6401
2021-01-08 12:00:00,9598548393.0,15991586913.0,49242.0059,39810071.37,9057824.637,812963.509
2021-01-08 13:00:00,8972308780.0,17954197214.0,63943231.72,28545589.37,58431617.07,850080.2277
2021-01-08 14:00:00,8319644907.0,11962831497.0,61971.7417,34023235.87,45771146.77,1109467.553
